dec	ra	nhits	beta	lambda	lambda1	costheta	azimuth	logdEdX	Lmu	run	eventID	selector 	
-71.47520	271.92277	21	0.75380	-4.95	-4.948	0.86376	280.31784	1.719	452.2	28729 100247000000987 0
-22.89996	5.01886	32	0.41697	-4.54	-4.545	0.49561	353.42142	1.739	423.7	28731 78604000000766 0
-51.44258	159.97662	47	0.36923	-4.61	-4.613	0.80535	210.81440	1.886	589.5	28736 100008000000979 0
2.92656	311.57144	24	0.39476	-4.95	-4.953	0.42125	147.57669	1.810	404.7	28777 100544000001098 0
-0.12510	263.10786	31	0.72197	-4.75	-4.751	0.29904	161.40375	1.858	385.2	28787 31637000000202 0
-19.98848	280.39192	51	0.22756	-4.34	-4.336	0.90680	60.57726	1.643	626.9	28790 27030000000655 0
-77.99383	72.70879	37	0.36324	-4.96	-4.962	0.78734	279.67316	1.611	596.8	28792 80536000000847 0
-55.17886	321.09499	44	0.71719	-5.17	-5.174	0.78332	217.29756	2.282	533.6	28794 84692000002640 0
-20.84998	239.65085	50	0.58256	-5.03	-5.028	0.91356	115.70719	1.663	605.1	28950 123389000002357 0
-30.79659	255.69577	47	0.29245	-4.75	-4.754	0.93667	26.98036	1.779	606.9	28970 46813000001796 0
-21.11055	319.51912	36	0.51721	-5.03	-5.028	0.82731	148.66001	1.740	453.9	28975 21703000000719 0
-57.93409	195.50078	44	0.57224	-4.46	-4.464	0.79999	314.35212	2.007	612.1	28982 62770000002968 0
-2.42316	52.76753	29	0.82745	-5.03	-5.029	0.54574	145.72480	1.967	441.0	29022 63017000008022 0
14.47551	200.52306	34	0.66772	-5.15	-5.145	0.53770	94.63466	2.984	389.3	29042 12080000000508 0
-32.07251	302.63917	32	0.94585	-5.13	-5.129	0.26423	207.82454	2.093	381.4	29049 91656000002878 0
-35.48065	87.78858	46	0.45476	-4.78	-4.782	0.97157	25.39815	1.613	585.1	29055 131199000003670 0
-57.54940	114.07907	31	0.75118	-4.94	-4.940	0.36152	297.06936	1.914	393.3	29068 129919000001853 0
-51.00430	141.22719	63	0.15741	-3.94	-3.936	0.84192	326.80377	1.771	675.2	29099 166538000002266 0
-77.92587	204.39227	39	0.33249	-5.01	-5.010	0.81732	268.99226	1.681	562.8	29105 152234000002443 0
-19.28465	63.87061	32	0.51283	-5.07	-5.075	0.62749	168.35887	1.655	467.2	29108 262000000003 0
-30.22414	256.62370	18	0.99829	-4.54	-4.541	0.83871	7.62254	1.830	578.1	29111 128473000001330 0
9.76770	259.21309	34	0.96354	-5.07	-5.068	0.59481	101.54529	2.770	408.8	29116 97907000003304 0
2.27647	34.19734	41	0.53241	-4.78	-4.782	0.39606	150.73180	1.886	399.0	29117 134237000003350 0
-12.36036	126.00348	34	0.29309	-4.32	-4.318	0.73701	142.81633	1.616	488.2	29126 6665000000371 0
-46.03765	44.23744	50	0.25547	-4.81	-4.809	0.83063	335.77299	1.799	567.9	29126 7789000000458 0
-74.42328	39.85422	33	0.58783	-5.09	-5.089	0.64092	288.54860	1.763	479.0	29126 102703000005101 0
8.59846	289.52548	46	0.85581	-5.10	-5.099	0.31729	146.40824	2.694	388.0	29155 106574000007724 0
-31.85239	113.06663	54	0.78216	-5.14	-5.141	0.76270	179.25310	2.174	568.6	29160 71406000006080 0
9.34043	57.51811	42	0.84937	-5.18	-5.183	0.60654	97.88471	2.215	452.9	29177 43870000001874 0
-9.38336	181.39142	37	0.72624	-5.02	-5.021	0.80878	114.71274	1.719	580.1	29178 136944000003066 0
-41.76085	0.91117	60	0.81568	-5.14	-5.140	0.48606	209.59278	2.351	418.8	29180 62627000004242 0
-38.65860	264.20220	77	0.21669	-4.98	-4.983	0.94340	174.25848	2.291	602.5	29188 100636000003139 0
-25.85455	151.99231	28	0.43515	-4.59	-4.592	0.47592	347.96156	1.912	416.6	29188 71114000001916 0
-21.83992	5.22302	27	0.35446	-4.89	-4.886	0.74748	14.34399	1.640	539.5	29191 63459000004493 0
-13.38947	225.78422	26	0.71837	-4.95	-4.953	0.40238	174.55233	2.671	400.9	29192 163751000003665 0
-13.25160	246.86357	81	0.34328	-4.57	-4.565	0.86965	92.15769	1.982	609.5	29194 22859000002310 0
-60.86801	300.91308	41	0.72977	-5.14	-5.138	0.29020	283.71795	2.340	383.1	29213 53538000002998 0
-4.78482	172.78540	29	0.50059	-4.84	-4.840	0.57472	147.40118	2.356	429.2	29251 31191000001824 0
-6.16363	219.33869	36	0.73441	-5.08	-5.079	0.67468	137.75813	1.704	489.2	29265 10221000000096 0
-19.15657	50.21982	35	0.30824	-4.86	-4.856	0.79696	26.91926	1.612	587.6	29270 133082000001429 0
-64.53570	251.31249	56	0.58079	-4.78	-4.782	0.33851	280.98090	2.493	393.0	29278 159361000001801 0
-27.31210	280.88350	66	0.54612	-5.06	-5.063	0.71794	1.33494	2.310	528.6	29292 89460000000876 0
-73.52958	229.48916	58	0.35645	-4.80	-4.799	0.85493	274.47753	2.008	660.0	29319 58891000000550 0
-40.96505	43.78952	19	0.68940	-4.85	-4.854	0.69169	198.53258	1.660	489.7	29330 141190000001208 0
-18.16399	177.98248	18	0.61429	-5.05	-5.052	0.77602	25.72892	2.028	434.5	29365 49759000000440 0
-24.80959	318.23210	38	0.37116	-5.15	-5.146	0.86680	25.72829	1.607	593.5	29411 9181000000080 0
-35.45505	30.20522	37	0.97307	-5.18	-5.184	0.77366	351.42175	2.254	435.4	29414 81186000000843 0
-7.67866	136.21144	33	0.65151	-4.79	-4.794	0.76434	52.57393	1.651	544.7	29417 83988000000878 0
-59.79972	131.83937	32	0.89541	-5.09	-5.094	0.40676	296.73997	2.196	400.6	29419 121192000001307 0
-15.53531	206.28369	44	0.72151	-5.09	-5.094	0.88884	92.08590	1.648	636.1	29423 137725000001429 0
-42.26351	358.09272	62	0.27044	-5.01	-5.007	0.95144	184.56897	2.064	597.5	29426 83588000000928 0
-51.88423	288.87817	70	0.19394	-4.29	-4.287	0.86587	325.36845	1.745	656.5	29490 129035000002436 0
-32.54059	163.19754	69	0.28998	-5.16	-5.163	0.91217	162.39846	1.731	623.2	29539 9077000000135 0
-70.10090	199.27758	65	0.97221	-4.95	-4.947	0.39048	266.50674	2.818	399.7	29557 19504000000222 0
1.82779	2.47833	77	0.43762	-4.56	-4.557	0.69341	70.41857	2.575	503.0	29567 35368000000342 0
-29.41345	263.11183	35	0.82508	-5.17	-5.168	0.68625	355.39384	2.556	480.5	29733 49885000000965 0
-41.06088	59.20595	33	0.44532	-4.61	-4.611	0.59534	332.76441	1.609	457.5	29761 25717000000696 0
0.89613	144.10293	24	0.81478	-4.60	-4.599	0.71460	75.29466	1.642	510.6	29761 70180000001895 0
-60.57671	22.53255	34	0.63378	-4.72	-4.724	0.85501	308.48554	1.634	503.2	29806 83975000001990 0
-4.96768	104.51660	45	0.44567	-4.47	-4.475	0.78391	99.92141	1.701	590.0	29829 24338000002777 0
-37.33293	248.03571	47	0.40887	-5.17	-5.165	0.93490	4.35638	1.612	608.0	29840 24606000002522 0
